Image,Answer
1,156
2,261
3,188
4,238
5,303
6,260
7,279
8,30
9,224
10,153
11,218
12,266
13,216
14,177
15,162
16,128
17,105
18,225
19,151
20,220
21,220
22,151
23,178
24,226
25,173
26,275
27,216
28,145
29,155
30,182
31,175
32,339
33,109
34,289
35,264
36,315
37,291
38,57
39,3
40,303
41,81
42,179
43,303
44,280
45,304
46,156
47,246
48,92
49,232
50,198
51,227
52,133
53,347
54,172
55,107
56,131
57,163
58,34
59,222
60,225
61,85
62,159
63,80
64,155
65,160
66,220
67,311
68,186
69,240
70,258
71,339
72,205
73,159
74,345
75,207
76,333
77,23
78,149
79,278
80,225
81,258
82,91
83,289
84,175
85,225
86,212
87,279
88,48
89,220
90,309
91,220
92,157
93,85
94,128
95,226
96,220
97,334
98,180
99,225
100,225
101,220
102,132
103,51
104,326
105,212
106,319
107,273
108,92
109,69
110,29
111,12
112,227
113,240
114,268
115,324
116,53
117,212
118,194
119,280
120,303
121,235
122,188
123,319
124,218
125,271
126,271
127,220
128,57
129,158
130,287
131,188
132,225
133,279
134,202
135,99
136,303
137,323
138,121
139,34
140,342
141,3
142,241
143,347
144,226
145,220
146,164
147,207
148,314
149,225
150,101
151,126
152,288
153,97
154,199
155,285
156,94
157,230
158,154
159,202
160,219
161,279
162,112
163,275
164,59
165,209
166,220
167,77
168,209
169,100
170,69
171,112
172,225
173,128
174,113
175,290
176,224
177,203
178,294
179,160
180,247
181,77
182,254
183,240
184,149
185,314
186,307
187,101
188,199
189,135
190,347
191,169
192,345
193,334
194,77
195,225
196,159
197,334
198,167
199,203
200,217
201,288
202,212
203,59
204,218
205,196
206,29
207,49
208,334
209,312
210,225
211,90
212,276
213,205
214,241
215,292
216,267
217,225
218,262
219,191
220,178
221,248
222,303
223,340
224,220
225,235
226,278
227,212
228,244
229,210
230,334
231,288
232,278
233,225
234,235
235,85
236,212
237,117
238,320
239,122
240,333
241,218
242,92
243,303
244,213
245,156
246,264
247,314
248,334
249,334
250,117
251,202
252,188
253,162
254,183
255,213
256,56
257,278
258,103
259,316
260,212
261,334
262,312
263,58
264,334
265,226
266,312
267,218
268,220
269,25
270,223
271,117
272,225
273,220
274,257
275,243
276,215
277,190
278,209
279,263
280,38
281,303
282,334
283,305
284,272
285,305
286,220
287,85
288,253
289,10
290,167
291,100
292,57
293,220
294,271
295,92
296,348
297,289
298,213
299,249
300,159
301,252
302,280
303,161
304,295
305,143
306,77
307,220
308,56
309,225
310,218
311,193
312,213
313,334
314,151
315,298
316,277
317,241
318,308
319,234
320,172
321,314
322,180
323,312
324,238
325,156
326,343
327,159
328,198
329,300
330,194
331,225
332,167
333,323
334,175
335,312
336,303
337,342
338,261
339,92
340,334
341,344
342,92
343,243
344,292
345,57
346,130
347,209
348,164
349,275
350,274
351,303
352,218
353,87
354,96
355,129
356,130
357,301
358,232
359,220
360,238
361,349
362,154
363,100
364,181
365,88
366,238
367,57
368,222
369,96
370,195
371,156
372,117
373,220
374,85
375,294
376,312
377,92
378,110
379,85
380,312
381,225
382,96
383,220
384,96
385,278
386,106
387,157
388,218
389,300
390,212
391,289
392,204
393,199
394,235
395,178
396,110
397,238
398,278
399,279
400,303
401,241
402,159
403,207
404,225
405,173
406,268
407,12
408,133
409,345
410,334
411,271
412,153
413,289
414,220
415,310
416,332
417,226
418,230
419,163
420,245
421,220
422,163
423,230
424,13
425,226
426,213
427,10
428,57
429,260
430,297
431,204
432,297
433,88
434,334
435,340
436,96
437,39
438,198
439,295
440,232
441,151
442,225
443,260
444,150
445,303
446,77
447,64
448,263
449,291
450,283
451,85
452,77
453,209
454,34
455,110
456,120
457,288
458,112
459,110
460,76
461,267
462,327
463,159
464,159
465,242
466,227
467,262
468,192
469,281
470,262
471,227
472,159
473,238
474,302
475,213
476,278
477,76
478,167
479,159
480,207
481,259
482,289
483,232
484,324
485,12
486,274
487,324
488,96
489,212
490,346
491,227
492,45
493,256
494,248
495,334
496,171
497,232
498,345
499,230
500,315
501,277
502,212
503,248
504,285
505,345
506,157
507,220
508,202
509,146
510,181
511,314
512,261
513,49
514,247
515,220
516,228
517,334
518,345
519,246
520,257
521,224
522,248
523,230
524,225
525,96
526,100
527,339
528,182
529,314
530,312
531,278
532,286
533,312
534,258
535,171
536,140
537,269
538,252
539,230
540,99
541,111
542,161
543,281
544,345
545,77
546,220
547,195
548,159
549,225
550,190
551,64
552,303
553,244
554,13
555,97
556,279
557,205
558,12
559,223
560,215
561,97
562,180
563,312
564,77
565,110
566,303
567,314
568,268
569,342
570,61
571,154
572,196
573,92
574,230
575,278
576,144
577,220
578,303
579,325
580,250
581,203
582,209
583,220
584,220
585,196
586,278
587,100
588,159
589,225
590,322
591,259
592,334
593,262
594,220
595,212
596,275
597,288
598,192
599,117
600,241
601,156
602,158
603,27
604,117
605,159
606,242
607,92
608,208
609,341
610,336
611,184
612,320
613,97
614,40
615,30
616,165
617,201
618,149
619,237
620,189
621,11
622,167
623,299
624,159
625,334
626,218
627,207
628,238
629,205
630,106
631,238
632,254
633,181
634,338
635,212
636,39
637,244
638,220
639,201
640,350
641,277
642,314
643,265
644,205
645,275
646,235
647,180
648,274
649,269
650,167
651,313
652,232
653,204
654,320
655,218
656,263
657,266
658,303
659,56
660,321
661,274
662,225
663,306
664,303
665,315
666,166
667,57
668,200
669,225
670,220
671,225
672,106
673,82
674,225
675,84
676,350
677,188
678,169
679,97
680,226
681,266
682,43
683,92
684,226
685,257
686,85
687,304
688,209
689,251
690,267
691,136
692,110
693,92
694,224
695,222
696,278
697,182
698,128
699,225
700,281
